iid,gender,age,race,field,income,from,tot_rounds,round_num,pid,age_partner,race_partner,same_race,request,request_partner,match,like,prob_yes,like_partner,prob_yes_partner,attractive,sincere,intelligence,fun,ambitious,shared_interests,attractive_partner,sincere_partner,intelligence_partner,fun_partner,ambitious_partner,shared_interests_partner,attractive_self,sincere_self,intelligence_self,fun_self,ambitious_self,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,sports_num,tvsports_num,exercise_num,dining_num,museums_num,art_num,hiking_num,gaming_num,clubbing_num,reading_num,tv_num,theater_num,movies_num,concerts_num,music_num,shopping_num,yoga_num
2,f,24,WhiteOrCaucasianAmerican,Law,"65,929.00",Alabama,10,1,11,27,WhiteOrCaucasianAmerican,y,n,n,n,6,4,7,2,5,7,8,4,6,3,8,7,6,9,7,4,7,5,8,10,3,low,moderate,moderate,high,moderate,moderate,low,moderate,high,high,low,high,moderate,moderate,moderate,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,f,24,WhiteOrCaucasianAmerican,Law,"65,929.00",Alabama,10,2,12,22,WhiteOrCaucasianAmerican,y,n,n,n,7,3,8,4,8,5,6,6,9,6,7,6,10,6,6,5,7,5,8,10,3,low,moderate,moderate,high,moderate,moderate,low,moderate,high,high,low,high,moderate,moderate,moderate,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,f,24,WhiteOrCaucasianAmerican,Law,"65,929.00",Alabama,10,3,13,22,AsianOrAsianAmericanOrPacificIslander,n,n,y,n,6,7,10,10,5,8,9,6,3,4,10,10,10,10,10,10,7,5,8,10,3,low,moderate,moderate,high,moderate,moderate,low,moderate,high,high,low,high,moderate,moderate,moderate,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,f,24,WhiteOrCaucasianAmerican,Law,"65,929.00",Alabama,10,4,14,23,WhiteOrCaucasianAmerican,y,y,y,y,7,8,9,7,7,9,7,6,5,7,9,9,9,9,9,9,7,5,8,10,3,low,moderate,moderate,high,moderate,moderate,low,moderate,high,high,low,high,moderate,moderate,moderate,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,f,24,WhiteOrCaucasianAmerican,Law,"65,929.00",Alabama,10,5,15,24,LatinoOrHispanicAmerican,n,n,y,n,8,6,10,1,6,8,7,9,7,8,10,10,10,10,7,8,7,5,8,10,3,low,moderate,moderate,high,moderate,moderate,low,moderate,high,high,low,high,moderate,moderate,moderate,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,f,24,WhiteOrCaucasianAmerican,Law,"65,929.00",Alabama,10,6,16,25,WhiteOrCaucasianAmerican,y,n,y,n,6,5,7,5,8,7,8,3,6,2,7,8,7,5,7,7,7,5,8,10,3,low,moderate,moderate,high,moderate,moderate,low,moderate,high,high,low,high,moderate,moderate,moderate,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,f,24,WhiteOrCaucasianAmerican,Law,"65,929.00",Alabama,10,7,17,30,WhiteOrCaucasianAmerican,y,y,n,n,8,7,4,3,7,5,9,6,7,9,5,3,4,3,5,3,7,5,8,10,3,low,moderate,moderate,high,moderate,moderate,low,moderate,high,high,low,high,moderate,moderate,moderate,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,f,24,WhiteOrCaucasianAmerican,Law,"65,929.00",Alabama,10,8,18,27,WhiteOrCaucasianAmerican,y,n,y,n,5,6,7,6,5,8,7,5,9,5,7,7,7,7,7,5,7,5,8,10,3,low,moderate,moderate,high,moderate,moderate,low,moderate,high,high,low,high,moderate,moderate,moderate,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,f,24,WhiteOrCaucasianAmerican,Law,"65,929.00",Alabama,10,9,19,28,WhiteOrCaucasianAmerican,y,y,y,y,5,6,8,8,7,6,8,9,4,5,8,6,9,9,8,7,7,5,8,10,3,low,moderate,moderate,high,moderate,moderate,low,moderate,high,high,low,high,moderate,moderate,moderate,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,f,24,WhiteOrCaucasianAmerican,Law,"65,929.00",Alabama,10,10,20,24,WhiteOrCaucasianAmerican,y,y,n,n,8,7,6,9,6,7,8,7,9,8,6,5,7,7,9,7,7,5,8,10,3,low,moderate,moderate,high,moderate,moderate,low,moderate,high,high,low,high,moderate,moderate,moderate,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
3,f,25,WhiteOrCaucasianAmerican,Economics,,Connecticut,10,1,11,27,WhiteOrCaucasianAmerican,y,n,n,n,8,7,5,2,7,9,10,7,8,9,7,8,6,5,8,4,8,9,9,8,8,low,high,moderate,moderate,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,low,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,f,25,WhiteOrCaucasianAmerican,Economics,,Connecticut,10,2,12,22,WhiteOrCaucasianAmerican,y,n,n,n,8,7,7,3,9,7,9,8,9,7,6,7,10,6,6,5,8,9,9,8,8,low,high,moderate,moderate,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,low,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,f,25,WhiteOrCaucasianAmerican,Economics,,Connecticut,10,3,13,22,AsianOrAsianAmericanOrPacificIslander,n,n,y,n,8,7,10,10,7,9,9,7,9,7,10,10,10,10,10,10,8,9,9,8,8,low,high,moderate,moderate,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,low,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,f,25,WhiteOrCaucasianAmerican,Economics,,Connecticut,10,4,14,23,WhiteOrCaucasianAmerican,y,n,y,n,8,7,7,7,9,7,9,7,9,7,7,9,8,8,8,8,8,9,9,8,8,low,high,moderate,moderate,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,low,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,f,25,WhiteOrCaucasianAmerican,Economics,,Connecticut,10,5,15,24,LatinoOrHispanicAmerican,n,n,y,n,9,,6,1,9,10,10,10,10,10,6,10,8,6,,,8,9,9,8,8,low,high,moderate,moderate,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,low,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,f,25,WhiteOrCaucasianAmerican,Economics,,Connecticut,10,6,16,25,WhiteOrCaucasianAmerican,y,n,y,n,8,,6,7,8,10,10,7,9,9,7,6,6,6,6,6,8,9,9,8,8,low,high,moderate,moderate,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,low,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,f,25,WhiteOrCaucasianAmerican,Economics,,Connecticut,10,7,17,30,WhiteOrCaucasianAmerican,y,n,n,n,8,7,2,2,8,9,10,7,7,9,6,3,5,4,5,4,8,9,9,8,8,low,high,moderate,moderate,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,low,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,f,25,WhiteOrCaucasianAmerican,Economics,,Connecticut,10,8,18,27,WhiteOrCaucasianAmerican,y,n,n,n,8,7,5,1,7,9,9,8,9,7,4,5,6,4,6,4,8,9,9,8,8,low,high,moderate,moderate,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,low,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,f,25,WhiteOrCaucasianAmerican,Economics,,Connecticut,10,9,19,28,WhiteOrCaucasianAmerican,y,n,y,n,9,7,7,7,9,9,9,9,9,9,7,7,6,8,7,7,8,9,9,8,8,low,high,moderate,moderate,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,low,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,f,25,WhiteOrCaucasianAmerican,Economics,,Connecticut,10,10,20,24,WhiteOrCaucasianAmerican,y,n,n,n,8,7,5,5,8,7,9,7,9,7,5,6,8,5,8,6,8,9,9,8,8,low,high,moderate,moderate,low,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate,low,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
4,f,23,WhiteOrCaucasianAmerican,Law,"37,754.00",Texas,10,1,11,27,WhiteOrCaucasianAmerican,y,n,n,n,6,7,6,3,4,10,8,5,8,7,6,7,8,7,7,5,7,8,7,9,8,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,high,moderate,low,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,f,23,WhiteOrCaucasianAmerican,Law,"37,754.00",Texas,10,2,12,22,WhiteOrCaucasianAmerican,y,n,n,n,8,1,6,3,8,7,8,10,7,8,6,5,10,6,6,5,7,8,7,9,8,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,high,moderate,low,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,f,23,WhiteOrCaucasianAmerican,Law,"37,754.00",Texas,10,3,13,22,AsianOrAsianAmericanOrPacificIslander,n,n,y,n,4,1,10,10,4,7,8,8,6,7,10,10,10,10,10,10,7,8,7,9,8,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,high,moderate,low,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,f,23,WhiteOrCaucasianAmerican,Law,"37,754.00",Texas,10,4,14,23,WhiteOrCaucasianAmerican,y,y,y,y,8,10,8,10,8,10,7,10,7,10,7,7,7,9,9,9,7,8,7,9,8,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,high,moderate,low,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,f,23,WhiteOrCaucasianAmerican,Law,"37,754.00",Texas,10,5,15,24,LatinoOrHispanicAmerican,n,n,y,n,7,7,9,7,6,9,8,9,8,9,8,8,9,8,8,9,7,8,7,9,8,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,high,moderate,low,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,f,23,WhiteOrCaucasianAmerican,Law,"37,754.00",Texas,10,6,16,25,WhiteOrCaucasianAmerican,y,n,y,n,4,3,6,6,5,10,8,4,8,2,6,6,7,7,8,7,7,8,7,9,8,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,high,moderate,low,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,f,23,WhiteOrCaucasianAmerican,Law,"37,754.00",Texas,10,7,17,30,WhiteOrCaucasianAmerican,y,n,y,n,5,1,6,4,7,10,10,7,10,5,7,6,3,5,6,5,7,8,7,9,8,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,high,moderate,low,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,f,23,WhiteOrCaucasianAmerican,Law,"37,754.00",Texas,10,8,18,27,WhiteOrCaucasianAmerican,y,n,n,n,6,6,7,7,5,9,9,5,9,7,6,7,8,6,6,5,7,8,7,9,8,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,high,moderate,low,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,f,23,WhiteOrCaucasianAmerican,Law,"37,754.00",Texas,10,9,19,28,WhiteOrCaucasianAmerican,y,y,y,y,8,8,8,8,9,8,10,10,7,8,7,7,7,10,9,10,7,8,7,9,8,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,high,moderate,low,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
4,f,23,WhiteOrCaucasianAmerican,Law,"37,754.00",Texas,10,10,20,24,WhiteOrCaucasianAmerican,y,y,n,n,10,8,7,7,8,9,10,10,8,8,7,8,8,7,8,7,7,8,7,9,8,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,high,moderate,low,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
5,f,21,WhiteOrCaucasianAmerican,Law,"86,340.00",Maine,10,1,11,27,WhiteOrCaucasianAmerican,y,n,n,n,7,5,6,5,5,8,8,2,2,2,6,8,8,8,7,6,6,3,10,6,8,moderate,moderate,moderate,moderate,moderate,high,moderate,high,high,low,high,moderate,low,low,moderate,high,moderate,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,f,21,WhiteOrCaucasianAmerican,Law,"86,340.00",Maine,10,2,12,22,WhiteOrCaucasianAmerican,y,n,n,n,6,4,7,4,8,6,6,5,5,5,6,7,10,7,6,5,6,3,10,6,8,moderate,moderate,moderate,moderate,moderate,high,moderate,high,high,low,high,moderate,low,low,moderate,high,moderate,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,f,21,WhiteOrCaucasianAmerican,Law,"86,340.00",Maine,10,3,13,22,AsianOrAsianAmericanOrPacificIslander,n,n,y,n,6,5,10,10,4,6,8,8,6,5,10,10,10,10,10,10,6,3,10,6,8,moderate,moderate,moderate,moderate,moderate,high,moderate,high,high,low,high,moderate,low,low,moderate,high,moderate,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,f,21,WhiteOrCaucasianAmerican,Law,"86,340.00",Maine,10,4,14,23,WhiteOrCaucasianAmerican,y,y,y,y,8,2,7,7,8,5,5,7,7,9,6,8,6,8,10,10,6,3,10,6,8,moderate,moderate,moderate,moderate,moderate,high,moderate,high,high,low,high,moderate,low,low,moderate,high,moderate,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,f,21,WhiteOrCaucasianAmerican,Law,"86,340.00",Maine,10,5,15,24,LatinoOrHispanicAmerican,n,n,n,n,7,4,5,7,6,7,7,5,4,8,5,9,9,7,9,5,6,3,10,6,8,moderate,moderate,moderate,moderate,moderate,high,moderate,high,high,low,high,moderate,low,low,moderate,high,moderate,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,f,21,WhiteOrCaucasianAmerican,Law,"86,340.00",Maine,10,6,16,25,WhiteOrCaucasianAmerican,y,y,n,n,7,3,6,7,5,6,7,5,7,8,5,8,7,7,7,7,6,3,10,6,8,moderate,moderate,moderate,moderate,moderate,high,moderate,high,high,low,high,moderate,low,low,moderate,high,moderate,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,f,21,WhiteOrCaucasianAmerican,Law,"86,340.00",Maine,10,7,17,30,WhiteOrCaucasianAmerican,y,y,n,n,6,3,3,3,6,6,8,5,5,6,2,3,4,4,5,3,6,3,10,6,8,moderate,moderate,moderate,moderate,moderate,high,moderate,high,high,low,high,moderate,low,low,moderate,high,moderate,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,f,21,WhiteOrCaucasianAmerican,Law,"86,340.00",Maine,10,8,18,27,WhiteOrCaucasianAmerican,y,y,n,n,6,4,6,5,5,5,7,6,7,5,5,5,6,5,5,5,6,3,10,6,8,moderate,moderate,moderate,moderate,moderate,high,moderate,high,high,low,high,moderate,low,low,moderate,high,moderate,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,f,21,WhiteOrCaucasianAmerican,Law,"86,340.00",Maine,10,9,19,28,WhiteOrCaucasianAmerican,y,y,y,y,9,4,7,7,7,5,7,8,7,9,5,9,9,9,9,6,6,3,10,6,8,moderate,moderate,moderate,moderate,moderate,high,moderate,high,high,low,high,moderate,low,low,moderate,high,moderate,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
5,f,21,WhiteOrCaucasianAmerican,Law,"86,340.00",Maine,10,10,20,24,WhiteOrCaucasianAmerican,y,y,n,n,10,3,4,10,9,6,7,9,6,5,3,10,7,7,10,5,6,3,10,6,8,moderate,moderate,moderate,moderate,moderate,high,moderate,high,high,low,high,moderate,low,low,moderate,high,moderate,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
6,f,23,AsianOrAsianAmericanOrPacificIslander,Law,"60,304.00",Maryland,10,1,11,27,WhiteOrCaucasianAmerican,n,y,n,n,6,6,7,4,6,9,7,6,7,6,7,9,8,9,8,4,5,7,9,8,5,high,high,high,moderate,moderate,moderate,high,moderate,moderate,high,low,moderate,low,moderate,low,low,low,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,f,23,AsianOrAsianAmericanOrPacificIslander,Law,"60,304.00",Maryland,10,2,12,22,WhiteOrCaucasianAmerican,n,y,n,n,7,6,7,4,6,9,9,6,8,2,6,8,10,6,7,6,5,7,9,8,5,high,high,high,moderate,moderate,moderate,high,moderate,moderate,high,low,moderate,low,moderate,low,low,low,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,f,23,AsianOrAsianAmericanOrPacificIslander,Law,"60,304.00",Maryland,10,3,13,22,AsianOrAsianAmericanOrPacificIslander,y,n,y,n,6,2,10,10,4,7,9,4,3,2,10,10,10,10,10,10,5,7,9,8,5,high,high,high,moderate,moderate,moderate,high,moderate,moderate,high,low,moderate,low,moderate,low,low,low,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,f,23,AsianOrAsianAmericanOrPacificIslander,Law,"60,304.00",Maryland,10,4,14,23,WhiteOrCaucasianAmerican,n,y,y,y,9,4,7,7,8,6,7,8,2,8,6,8,8,7,9,8,5,7,9,8,5,high,high,high,moderate,moderate,moderate,high,moderate,moderate,high,low,moderate,low,moderate,low,low,low,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,f,23,AsianOrAsianAmericanOrPacificIslander,Law,"60,304.00",Maryland,10,5,15,24,LatinoOrHispanicAmerican,n,n,y,n,4,3,9,2,5,4,8,8,4,2,9,7,9,7,9,6,5,7,9,8,5,high,high,high,moderate,moderate,moderate,high,moderate,moderate,high,low,moderate,low,moderate,low,low,low,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,f,23,AsianOrAsianAmericanOrPacificIslander,Law,"60,304.00",Maryland,10,6,16,25,WhiteOrCaucasianAmerican,n,n,y,n,2,2,6,6,3,7,6,1,1,1,6,6,8,8,8,7,5,7,9,8,5,high,high,high,moderate,moderate,moderate,high,moderate,moderate,high,low,moderate,low,moderate,low,low,low,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,f,23,AsianOrAsianAmericanOrPacificIslander,Law,"60,304.00",Maryland,10,7,17,30,WhiteOrCaucasianAmerican,n,y,n,n,8,7,3,3,8,8,8,8,3,4,5,6,8,4,5,4,5,7,9,8,5,high,high,high,moderate,moderate,moderate,high,moderate,moderate,high,low,moderate,low,moderate,low,low,low,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,f,23,AsianOrAsianAmericanOrPacificIslander,Law,"60,304.00",Maryland,10,8,18,27,WhiteOrCaucasianAmerican,n,n,n,n,5,5,7,6,4,8,9,2,8,3,6,7,8,7,8,5,5,7,9,8,5,high,high,high,moderate,moderate,moderate,high,moderate,moderate,high,low,moderate,low,moderate,low,low,low,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,f,23,AsianOrAsianAmericanOrPacificIslander,Law,"60,304.00",Maryland,10,9,19,28,WhiteOrCaucasianAmerican,n,y,y,y,9,6,6,6,7,6,8,8,6,9,6,7,7,6,6,6,5,7,9,8,5,high,high,high,moderate,moderate,moderate,high,moderate,moderate,high,low,moderate,low,moderate,low,low,low,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
6,f,23,AsianOrAsianAmericanOrPacificIslander,Law,"60,304.00",Maryland,10,10,20,24,WhiteOrCaucasianAmerican,n,y,n,n,9,8,6,7,8,9,9,9,10,7,7,10,10,6,10,7,5,7,9,8,5,high,high,high,moderate,moderate,moderate,high,moderate,moderate,high,low,moderate,low,moderate,low,low,low,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
7,f,22,AsianOrAsianAmericanOrPacificIslander,Law,"54,620.00",Southern California,10,1,11,27,WhiteOrCaucasianAmerican,n,n,n,n,7,4,7,4,4,8,8,5,7,4,7,8,8,8,7,7,6,6,7,5,7,moderate,moderate,low,high,high,high,low,moderate,high,moderate,high,high,high,high,high,high,high,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,f,22,AsianOrAsianAmericanOrPacificIslander,Law,"54,620.00",Southern California,10,2,12,22,WhiteOrCaucasianAmerican,n,n,y,n,7,3,8,4,6,6,8,4,9,4,7,9,10,6,6,5,6,6,7,5,7,moderate,moderate,low,high,high,high,low,moderate,high,moderate,high,high,high,high,high,high,high,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,f,22,AsianOrAsianAmericanOrPacificIslander,Law,"54,620.00",Southern California,10,3,13,22,AsianOrAsianAmericanOrPacificIslander,y,n,y,n,7,8,10,10,3,6,8,7,8,8,10,10,10,10,10,10,6,6,7,5,7,moderate,moderate,low,high,high,high,low,moderate,high,moderate,high,high,high,high,high,high,high,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,f,22,AsianOrAsianAmericanOrPacificIslander,Law,"54,620.00",Southern California,10,4,14,23,WhiteOrCaucasianAmerican,n,y,y,y,8,6,8,7,7,8,8,7,7,6,8,8,9,8,9,9,6,6,7,5,7,moderate,moderate,low,high,high,high,low,moderate,high,moderate,high,high,high,high,high,high,high,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,f,22,AsianOrAsianAmericanOrPacificIslander,Law,"54,620.00",Southern California,10,5,15,24,LatinoOrHispanicAmerican,n,n,y,n,5,6,8,4,4,7,7,4,8,5,8,7,9,6,9,5,6,6,7,5,7,moderate,moderate,low,high,high,high,low,moderate,high,moderate,high,high,high,high,high,high,high,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,f,22,AsianOrAsianAmericanOrPacificIslander,Law,"54,620.00",Southern California,10,6,16,25,WhiteOrCaucasianAmerican,n,n,y,n,5,5,7,7,4,8,7,4,5,4,8,8,8,6,6,6,6,6,7,5,7,moderate,moderate,low,high,high,high,low,moderate,high,moderate,high,high,high,high,high,high,high,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,f,22,AsianOrAsianAmericanOrPacificIslander,Law,"54,620.00",Southern California,10,7,17,30,WhiteOrCaucasianAmerican,n,y,n,n,8,7,5,4,7,7,8,7,7,7,7,6,5,4,4,3,6,6,7,5,7,moderate,moderate,low,high,high,high,low,moderate,high,moderate,high,high,high,high,high,high,high,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
7,f,22,AsianOrAsianAmericanOrPacificIslander,Law,"54,620.00",Southern California,10,8,18,27,WhiteOrCaucasianAmerican,n,n,y,n,5,7,7,5,5,7,8,5,9,5,8,7,6,7,7,5,6,6,7,5,7,moderate,moderate,low,high,high,high,low,moderate,high,moderate,high,high,high,high,high,high,high,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
